Animal,Session,group,BaseStart,BaseEnd,NoSzstart2,NoSzend2,SzArtifactStart,SzArtifactEnd,SeizureStart,SeizureEnd,Bsz 
8800,16,1,-60,-53,28,120,0,1,5.2,17.54,0
12224,16,1,-60,-3,18.4,120,0,0,7.7,17.93,0
12233,16,1,-60,-3,25,120,0,1,8.6,23.79,0
12234,16,1,-60,-3,43.6,120,0,0,8.4,35.705,0
8793,16,2,-60,-48,30,120,0,1,2.7,29.325,0
8797,16,2,-60,-59.4,46,120,0,1,3.5,44.8,0
12226,16,2,-60,-16,32,120,0,1,4,31.6,0
12228,16,2,0,0,0,0,0,1,0,0,0
12227,16,2,-60,-3,28,120,0,0.68,6.3,27.255,0
8790,17,1,-60,-52,44,120,0,1,2.5,44.535,0
8799,17,1,-53.6,-48.2,21,120,0,1,2.54,20.475,0
8800,17,1,0,0,28,120,0,1,4.4,25.7,0
12224,17,1,-39,-4,19,120,0.6,1,8.2,18.315,0
12233,17,1,-60,-3,21,120,0,0.3,8.6,19.965,0
12234,17,1,-60,-3,34.2,120,0.2,0.6,8.2,34.01,0
8793,17,2,-60,-55,33,120,0,1,2.76,32.185,0
8797,17,2,-60,-37,24,120,0,1,3.9,22.89,0
12226,17,2,-60,-8,30,120,0,1,4,26.76,0
12228,17,2,0,0,60,120,0,1,13,57,0
12227,17,2,-20,-3,36,120,0,1,7.9,28,0
8790,18,1,0,0,52.4,120,0,1,3.4,38.715,0
8799,18,1,0,0,31.8,120,0,1,3.5,31.375,0
8800,18,1,-60,-54,30.75,70,0,1,4.6,29.15,0
12224,18,1,-60,-3,17,120,0.3,0.6,8.45,15.99,0
12233,18,1,-60,-3,18.5,120,0.4,0.6,8.65,18.14,0
12234,18,1,-60,-3,35,120,0,0,8.5,34,0
8793,18,2,-60,-46,33,120,0,1,4.3,31.69,0
8797,18,2,-60,-56.4,30,120,0,1,3.6,22.495,0
12227,18,2,-60,-3,41,120,0.2,0.5,8.7,37,0
12228,18,2,-60,-42,33,120,0,0,7.8,32.315,0
8790,19,1,0,0,35,120,0,1,2.3,34.2,0
8799,19,1,0,0,80,120,0,1,2.65,56.865,0
8800,19,1,0,0,32,120,0,1,5,31.41,0
12234,19,1,-60,-3,60,120,0,1,8.4,54.8,0
12233,19,1,0,0,20,89,0.65,0.75,9.2,19.81,0
8793,19,2,-60,-37,28.5,120,0,1,2.6,27.62,0
8797,19,2,-60,-53,40,120,0,1,3.3,39.8,0
12227,19,2,-60,-3,46,120,0.4,1,8.8,30,0
12228,19,2,0,0,29,120,0,1,9,27.85,0
